time,ax,ay,az,aT
3.3950,0.1072,-0.0078,0.0688,0.128
3.4040,0.0374,-0.0009,-0.0592,0.070
3.4100,-0.2386,0.0109,-0.2346,0.335
3.4410,-0.2528,0.0830,-0.2896,0.393
3.4420,-0.0639,0.0683,-0.2964,0.311
3.4420,0.2511,0.0305,-0.3433,0.426
3.4450,0.1377,0.0593,-0.4007,0.428
3.4510,-0.2218,0.0163,-0.1996,0.299
3.4600,0.0855,-0.0109,0.0100,0.087
3.4710,0.4073,0.0428,0.1306,0.430
3.4750,-0.0873,-0.0625,0.0860,0.138
3.4860,-0.2077,-0.0657,0.1530,0.266
3.4960,-0.4759,-0.1605,0.0498,0.505
3.5000,0.6627,0.0735,0.0138,0.667
3.5100,0.0716,-0.0143,-0.0132,0.074
3.5260,-0.0547,-0.0236,-0.0331,0.068
3.5280,-0.0012,0.0090,-0.1243,0.125
3.5680,-0.1138,-0.0158,-0.1900,0.222
3.5690,-0.1290,-0.0094,-0.1803,0.222
3.5700,-0.0987,-0.0107,-0.1293,0.163
3.5710,-0.0163,-0.0028,-0.1425,0.143
3.5720,0.0492,0.0290,-0.2293,0.236
3.5760,0.0614,0.0140,-0.2324,0.241
3.5870,0.0724,0.0082,-0.1359,0.154
3.5900,-0.0091,-0.0063,-0.0648,0.066
3.6010,-0.0724,-0.0045,-0.0275,0.078
3.6110,-0.1010,-0.0131,0.0352,0.108
3.6210,-0.0795,-0.0249,0.0582,0.102
3.6260,0.0199,-0.0064,-0.0098,0.023
3.6360,0.1345,0.0225,-0.0519,0.146
3.6410,0.1588,0.0267,0.0933,0.186
3.6620,0.0938,-0.0255,0.2305,0.250
3.6670,-0.0206,-0.0545,0.2560,0.263
3.6700,-0.1507,-0.0341,0.0548,0.164
3.7040,-0.2163,-0.0198,0.0143,0.218
3.7050,-0.2087,-0.0541,0.0913,0.234
3.7060,-0.1954,-0.0472,0.0108,0.201
3.7080,-0.0615,-0.0153,0.0056,0.064
3.7100,0.1621,-0.0036,0.0683,0.176
3.7210,0.4480,0.0836,-0.0056,0.456
3.7260,-0.0383,0.0466,-0.1415,0.154
3.7360,-0.0021,0.0664,-0.1548,0.168
3.7400,0.0616,0.0541,-0.0773,0.113
3.7510,0.0495,-0.0863,0.3274,0.342
3.7610,0.1378,-0.0930,0.4880,0.516
3.7700,0.0271,-0.0807,0.3615,0.371
3.7760,-0.1432,-0.0488,0.2328,0.278
3.7870,0.0051,0.0448,0.0381,0.059
3.7910,-0.0402,0.0602,-0.1991,0.212
3.8110,-0.0267,0.1059,-0.5149,0.526
3.8130,-0.0160,0.1567,-0.6599,0.678
3.8190,0.2654,0.1727,-0.6359,0.710
3.8530,0.3132,0.2288,-0.5355,0.661
3.8550,0.1583,0.2130,-0.3694,0.455
3.8560,0.0676,0.1576,-0.1038,0.200
3.8570,-0.1009,0.0083,0.2215,0.244
3.8580,-0.0489,-0.0621,0.4089,0.416
3.8700,-0.0767,-0.0969,0.5203,0.535
3.8780,0.1560,-0.1310,0.6106,0.644
3.8840,0.2164,-0.1280,0.6405,0.688
3.8910,0.0776,-0.1331,0.5069,0.530
3.9030,0.0402,-0.1338,0.4237,0.446
3.9060,0.0373,-0.1436,0.2886,0.325
3.9180,-0.1425,-0.0902,-0.0458,0.175
3.9260,-0.2403,0.0054,-0.3661,0.438
3.9340,-0.0396,0.0678,-0.4199,0.427
3.9410,0.0580,0.1000,-0.2922,0.314
3.9610,-0.0437,0.1100,-0.2494,0.276
3.9730,-0.1333,0.1054,-0.1637,0.236
3.9760,-0.2047,0.0789,-0.1259,0.253
3.9780,-0.0616,0.1477,0.0289,0.163
4.0150,-0.0139,0.1815,0.1059,0.211
4.0160,-0.0802,0.2681,0.0819,0.292
4.0180,-0.0143,0.2090,0.0764,0.223
4.0190,-0.2419,0.0639,-0.0778,0.262
4.0210,-0.3291,-0.0055,-0.1170,0.349
4.0270,0.0285,-0.0392,0.1231,0.132
4.0310,0.0033,0.0282,0.2483,0.250
4.0420,-0.3262,0.0656,0.2873,0.440
4.0640,0.1298,0.1501,0.4085,0.454
4.0650,0.4323,0.1429,0.6265,0.775
4.1160,0.0881,0.0764,0.7003,0.710
4.1180,-0.1426,0.0975,0.6868,0.708
4.1190,-0.2920,0.1225,0.5849,0.665
4.1200,-0.5633,0.1203,0.5022,0.764
4.1210,-0.6055,0.1369,0.5203,0.810
4.1220,-0.5170,0.1839,0.5116,0.750
4.1260,-0.5417,0.2493,0.3870,0.711
4.1270,-0.7026,0.2800,0.2567,0.799
4.1510,-0.8576,0.0063,0.1011,0.864
4.1530,-1.1862,-0.0249,-0.2750,1.218
4.1550,-1.0960,-0.0639,-0.3512,1.153
4.1570,-0.2763,-0.0640,-0.0087,0.284
4.1870,0.9500,0.2654,0.2767,1.024
4.1930,1.0008,0.4621,0.3292,1.150
4.1950,0.2113,0.3689,0.1410,0.448
4.1960,0.0552,0.2311,-0.1857,0.302
4.2230,0.3329,0.1018,-0.3084,0.465
4.2240,0.3644,0.0441,-0.4087,0.549
4.2250,0.3859,-0.0489,-0.6430,0.751
4.2260,0.3403,-0.0610,-1.0320,1.088
4.2430,0.1016,0.1800,-1.3054,1.322
4.2440,-0.3764,0.4909,-1.6944,1.804
4.2470,-0.2930,0.8259,-1.6938,1.907
4.2560,-0.0595,1.1272,-1.7407,2.075
4.2710,-0.3712,1.2813,-1.6026,2.085
4.2720,-0.5866,1.2089,-1.2138,1.811
4.2850,-0.8232,1.1597,-1.0487,1.767
4.2910,-0.9714,1.1066,-1.0884,1.831
4.2970,-0.4665,1.4617,-1.7490,2.327
4.3150,-0.0340,2.1858,-2.7672,3.526
4.3170,0.1318,2.7384,-3.3640,4.340
4.3630,0.5548,3.4060,-3.7236,5.077
4.3650,-0.1845,3.3750,-2.8571,4.426
4.3670,-1.5937,2.3913,-1.6208,3.299
4.3690,-2.6055,1.7734,-1.0170,3.312
4.3710,-3.7241,1.6515,-0.8381,4.159
4.3730,-4.0145,1.6019,-0.0148,4.322
4.3880,-4.6846,1.7041,0.7645,5.043
4.3890,-5.1432,1.4734,0.8667,5.420
4.3910,-5.2666,1.2951,1.0021,5.515
4.3970,-5.2476,1.0237,1.0272,5.444
4.4060,-5.0602,0.6519,0.9613,5.192
4.4390,-4.9591,0.1468,0.8845,5.039
4.4440,-4.8723,-0.3468,0.7536,4.942
4.4460,-4.7552,-0.7487,0.5956,4.851
4.4470,-4.7363,-1.0455,0.4644,4.872
4.4490,-4.7048,-1.2548,0.3399,4.881
4.4710,-4.7282,-1.4496,0.3613,4.959
4.4720,-4.5817,-1.5402,0.3836,4.849
4.4740,-4.5261,-1.4774,0.3111,4.771
4.4840,-4.7176,-1.4148,0.3435,4.937
4.4910,-4.9018,-1.3995,0.4406,5.117
4.4960,-5.0477,-1.2738,0.5812,5.238
4.5060,-5.2106,-1.0714,0.6672,5.361
4.5160,-5.3269,-0.7753,0.6775,5.426
4.5210,-5.2902,-0.4924,0.6122,5.348
4.5320,-5.2932,-0.3195,0.5281,5.329
4.5410,-5.1687,-0.1802,0.4004,5.187
